,basy_yljgid,basy_caption,basy_dept_adrresscode,basy_yydj
336,JG_510000X20172,三台景福阳光医院,510722,一级未评等
337,JG_510000003842,德格县人民医院,513330,二级甲等
342,JG_510000011464,南江县高塔镇卫生院,511922,未评级未评等
343,JG_510000911271,成都华厦眼科医院,510199,三级未评等
348,JG_510000007592,乐山市五通桥区牛华镇新云卫生院,511112,未评级未评等
353,JG_510000013666,宁南县俱乐镇卫生院（俱乐镇妇幼保健计划生育服务站）,513427,未评级未评等
354,JG_510000X07455,绵阳睿达精神病医院,510704,二级未评等
355,JG_510000005988,三台县西平镇中心卫生院,510722,未评级未评等
399,JG_510000011678,平昌县江家口镇卫生院,511923,未评级未评等
403,JG_510000006846,剑阁县盐店镇卫生院,510823,未评级未评等
412,JG_510000011054,天全县兴业乡卫生院,511825,未评级未评等
413,JG_510000X80743,凉山中科耳鼻喉专科医院,513401,二级未评等
421,JG_510000003076,宜宾市第六人民医院,511504,三级乙等
524,JG_510000907714,丹巴长征骨科医院,513323,未评级未评等
536,JG_510000007042,遂宁市船山区复桥镇卫生院,510903,未评级未评等
544,JG_510000904715,南充国宁精神卫生医院,511303,二级未评等
555,JG_510000001394,都江堰市人民医院,510181,三级甲等
694,JG_510000912934,江油杨氏中医医院,510781,一级未评等
696,JG_510000004270,成都市新都区斑竹园街道马家卫生院,510114,未评级未评等
697,JG_510000010314,宣汉县上峡镇卫生院,511722,未评级未评等
705,JG_510000174392,营山县绥安街道东城社区卫生服务中心,511322,未评级未评等
706,JG_510000011926,乐至县石佛镇中心卫生院,512022,未评级未评等
708,JG_510000X49198,彭州濛江医院,510182,未评级未评等
710,JG_510000908660,石宝仁爱医院,510525,一级未评等
784,JG_510000159850,合江县车辋镇卫生院,510522,未评级未评等
807,JG_510000007930,峨眉山市峨山街道社区卫生服务中心,511181,未评级未评等
814,JG_510000007290,内江市东兴区高梁中心卫生院,511011,未评级未评等
816,JG_510000003228,武胜县人民医院,511622,三级乙等
983,JG_510000013378,盐源县平川镇卫生院,513423,未评级未评等
984,JG_510000008806,西充县凤鸣镇复安卫生院,511325,未评级未评等
986,JG_510000177330,宜宾玛莉亚医院,511502,一级未评等
987,JG_510000003158,高县人民医院,511525,三级乙等
1058,JG_510000005446,叙永县水潦彝族乡卫生院,510524,未评级未评等
1072,JG_510000191576,成都天府新区颐天福诚医院,510110,一级未评等
1075,JG_510000X92857,芦山德慈惠爱医院,511826,未评级未评等
1076,JG_510000907485,仁寿海微眼科医院,511421,二级未评等
1082,JG_510000006674,旺苍县大两镇卫生院,510821,未评级未评等
1084,JG_510000011366,通江县洪口镇澌波卫生院,511921,未评级未评等
1085,JG_510000009292,宜宾市翠屏区牟坪镇中心卫生院,511502,未评级未评等
1086,JG_510000010416,大竹县第二人民医院,511724,未评级未评等
1119,JG_510000002830,蓬安博爱医院,511323,一级未评等
1127,JG_510000004602,成都市新津区安西镇公立卫生院,510118,未评级未评等
1144,JG_510000202020,会理阳光医院,513402,一级未评等
1145,JG_510000005946,三台县三元镇卫生院,510722,未评级未评等
1152,JG_510000203448,遂宁市安居区中医院,510904,未评级未评等
1153,JG_510000004046,美姑县妇幼保健计划生育服务中心,513436,未评级未评等
1154,JG_510000006400,江油市龙凤镇卫生院,510781,未评级未评等
1160,JG_510000005632,中江县广福中心卫生院,510623,未评级未评等
1197,JG_510000002448,内江泽惠医院,511002,一级未评等
1200,JG_510000011292,巴州区曾口镇甘泉卫生院,511902,未评级未评等
1201,JG_510000010506,大竹县安吉乡卫生院,511724,未评级未评等
1206,JG_510000007014,苍溪县黄猫垭镇卫生院,510824,未评级未评等
1207,JG_510000007284,内江市东兴区白合中心卫生院,511011,未评级未评等
1251,JG_510000010796,雅安市雨城区周公山镇中心卫生院,511802,未评级未评等
1253,JG_510000907129,彭山同德医院,511403,一级未评等
1255,JG_510000013090,乡城县热打乡中心卫生院,513336,未评级未评等
1256,JG_510000913182,德阳乐龄精神病医院,510603,二级未评等
1257,JG_510000003784,甘孜藏族自治州人民医院,513301,三级甲等
1276,JG_510000013528,会理市六华镇中心卫生院,513402,未评级未评等
1277,JG_510000009926,武胜县石盘镇卫生院,511622,未评级未评等
1278,JG_510000001482,邛崃市医疗中心医院,510183,三级乙等
1457,JG_510000013304,盐源县洼里乡卫生院,513423,未评级未评等
1459,JG_510000160096,达州市达川区新南社区卫生服务站,511703,未评级未评等
1461,JG_510000921726,成都龙泉驿锦欣慢性病医院,510112,二级未评等
1474,JG_510000166674,成都锦江泰三堂德康医院,510104,一级未评等
1479,JG_510000147939,华蓥市蓥城社区卫生服务中心,511681,未评级未评等
1503,JG_510000008662,仪陇县板桥乡卫生院,511324,未评级未评等
1504,JG_510000001056,成都新华医院,510108,三级乙等
1543,JG_510000007638,犍为县泉水卫生院,511123,未评级未评等
1544,JG_510000012044,简阳市雷家镇卫生院,510185,未评级未评等
1551,JG_510000005556,德阳市旌阳区泰山社区卫生服务中心,510603,未评级未评等
1561,JG_510000013194,西昌市长安社区卫生服务中心,513401,未评级未评等
1562,JG_510000010692,万源市固军镇卫生院,511781,未评级未评等
1566,JG_510000004192,成都成华泰兴医院,510108,未评级未评等
1571,JG_5100001929901,内江爱尔眼科医院,511011,二级未评等
1573,JG_510000173470,威远迪森医院,511024,一级未评等
1575,JG_510000006744,青川县七佛乡卫生院,510822,未评级未评等
1576,JG_510000005576,中江县永太中心卫生院,510623,未评级未评等
1607,JG_510000006100,盐亭县九龙镇中心卫生院,510723,未评级未评等
1622,JG_510000006830,剑阁县东宝镇卫生院,510823,未评级未评等
1628,JG_510000X56101,成都武侯附大强直类凤湿医院,510107,一级未评等
1638,JG_510000005496,古蔺县黄荆中心卫生院,510525,未评级未评等
1652,JG_510000175646,富顺博爱医院,510322,一级甲等
1669,JG_510000187164,双流普仁医院,510116,一级未评等
1671,JG_510000925869,达州爱尔眼视光眼科医院,511702,未评级未评等
1672,JG_510000201156,南充果城骨科医院,511302,二级乙等
1682,JG_510000X50370,中康凉山康复医院,513401,二级未评等
1687,JG_510000002030,什邡岷德烧伤医院,510682,一级未评等
1689,JG_510000006640,旺苍县天星镇卫生院福庆分院,510821,未评级未评等
1690,JG_510000007790,沐川县大楠镇炭库卫生院,511129,未评级未评等
1702,JG_510000010282,宣汉县南坪镇观山卫生院,511722,未评级未评等
1704,JG_510000013584,会东县江西街乡中心卫生院,513426,未评级未评等
1705,JG_510000X31538,邻水和平康复医院,511623,一级未评等
1707,JG_510000002588,沙湾友安老年病专科医院,511111,二级未评等
1718,JG_510000197800,峨眉山锦欣老年病医院,511181,二级未评等
1723,JG_510000183808,南充旭洲医院,511302,未评级未评等
1726,JG_510000900263,宜宾家声医院,511504,一级乙等
1728,JG_510000007500,乐山市市中区土主镇中心卫生院,511102,未评级未评等
1751,JG_510000002764,四川省南充卫生学校附属医院,511302,二级未评等
1756,JG_510000009516,高县可久镇卫生院,511525,未评级未评等
1759,JG_510000184902,武胜中山医院,511622,一级未评等
1770,JG_510000035608,峨眉山华港医院,511181,一级未评等
1775,JG_510000006114,盐亭县玉龙镇中心卫生院,510723,未评级未评等
1791,JG_510000919554,成都新都恒轩医院,510114,一级未评等
1796,JG_510000147922,泸县曙康医院,510521,一级未评等
1809,JG_510000003380,宣汉县妇幼保健计划生育服务中心,511722,二级甲等
1814,JG_510000007338,威远县新场镇卫生院,511024,未评级未评等
1834,JG_510000006824,剑阁县店子镇卫生院,510823,未评级未评等
1835,JG_510000006308,北川羌族自治县马槽乡卫生院,510726,未评级未评等
1836,JG_510000915924,泸州纳溪凤康医院,510503,一级未评等
1862,JG_510000003260,华蓥山广能（集团）有限公司总医院绿水洞医院,511681,一级甲等
1867,JG_510000007124,蓬溪县宝梵镇卫生院,510921,未评级未评等
1884,JG_510000005482,古蔺县马蹄镇卫生院,510525,未评级未评等
1885,JG_510000013574,会东县淌塘镇中心卫生院,513426,未评级未评等
1886,JG_510000173808,宜宾戎南骨科医院,511504,二级未评等
1888,JG_510000182634,成都三松肾病医院,510107,二级未评等
1891,JG_510000159990,遂宁杨柳肾病医院有限公司,510903,二级未评等
1902,JG_510000005222,江阳区茜草街道社区卫生服务中心,510502,未评级未评等
1932,JG_510000011346,通江县诺江镇卫生院,511921,未评级未评等
1936,JG_510000189202,四川师范大学成龙校区医院,510112,一级未评等
1937,JG_510000014032,凉山州喜德县李子乡卫生院,513432,未评级未评等
1939,JG_510000186974,资阳爱尔眼科医院有限公司,512002,未评级未评等
1940,JG_510000005586,中江县集凤中心卫生院,510623,未评级未评等
1963,JG_510000011792,安岳县两板桥镇卫生院,512021,未评级未评等
1996,JG_510000013106,乡城县香巴镇卫生院,513336,未评级未评等
1998,JG_510000148415,成都温江名方医院,510115,一级未评等
2012,JG_510000002186,江油市第二人民医院,510781,三级乙等
2063,JG_510000003562,巴中市妇幼保健院,511902,二级甲等
2069,JG_510000004120,成都市金牛区沙河源社区卫生服务中心,510106,未评级未评等
2087,JG_510000000824,成都市第四人民医院,510106,三级甲等
2134,JG_510000003966,盐源县中医医院,513423,二级甲等
2164,JG_510000198154,泸州川蓝康复专科医院,510502,二级未评等
2189,JG_510000003716,九寨沟县妇幼保健和计划生育服务中心,513225,二级乙等
2190,JG_510000004354,金堂县转龙镇中心卫生院,510121,未评级未评等
2210,JG_510000014174,越西县书古镇中心卫生院,513434,未评级未评等
2211,JG_510000007216,射洪市涪西镇卫生院,510981,未评级未评等
2212,JG_510000008050,南充市高坪区斑竹乡卫生院,511303,未评级未评等
2214,JG_510000003152,长宁县中医医院,511524,三级乙等
2279,JG_510000904631,江安县康复医院,511523,二级乙等
2280,JG_510000003222,岳池县人民医院,511621,三级甲等
2359,JG_510000913883,成都温江赛灵医院,510115,一级未评等
2362,JG_510000902243,绵竹天河医院,510683,一级未评等
2365,JG_510000200404,资中谷田医院,511025,一级未评等
2378,JG_510000006226,梓潼县仙峰卫生院,510725,未评级未评等
2379,JG_510000010594,渠县渠北镇卫生院,511725,未评级未评等
2382,JG_510000009310,宜宾三江新区双城社区卫生服务中心,511599,未评级未评等
2389,JG_510000907693,宣汉卫众中医医院,511722,一级未评等
2394,JG_510000008484,蓬安县河舒中心卫生院,511323,未评级未评等
2401,JG_510000190858,绵阳市游仙区中医医院,510704,二级甲等
2412,JG_510000928118,绵竹市剑南街道社区卫生服务中心,510683,未评级未评等
2430,JG_510000010320,宣汉县五宝镇卫生院,511722,未评级未评等
2455,JG_510000003576,通江县妇幼保健院,511921,三级乙等
2471,JG_510000917034,达州爱尔眼科医院,511702,未评级未评等
2473,JG_510000004968,自贡市沿滩区卫坪镇中心卫生院（高新区）,510399,未评级未评等
2474,JG_510000001800,合江精神康复医院（合江精神康复医院有限公司）,510522,二级乙等
2500,JG_510000004328,金堂县第四人民医院,510121,二级乙等
2508,JG_510000011624,平昌县兰草镇中心卫生院,511923,未评级未评等
2512,JG_510000002072,绵阳高新区医院,510771,二级乙等
2528,JG_510000006596,广元市朝天区羊木镇中心卫生院,510812,未评级未评等
2531,JG_510000900885,成都郫都诚德医院,510117,未评级未评等
2534,JG_510000008044,南充市高坪区胜观镇卫生院,511303,未评级未评等
2540,JG_510000004504,大邑县安仁镇公立卫生院韩场分院,510129,未评级未评等
2547,JG_510000007172,射洪市青岗中心卫生院,510981,未评级未评等
2557,JG_510000919672,成都九龙医院（成都九龙中医医院）,510105,二级未评等
2558,JG_510000001500,崇州市妇幼保健计划生育服务中心（崇州市妇幼保健院）,510184,三级乙等
2583,JG_510000008258,南部县窑场乡卫生院,511321,未评级未评等
2585,JG_510000004718,邛崃市羊安街道中心卫生院,510183,未评级未评等
2644,JG_510000010580,渠县宝城镇中心卫生院,511725,未评级未评等
2652,JG_510000005000,荣县东佳镇卫生院,510321,未评级未评等
2655,JG_510000005370,合江县白鹿镇卫生院,510522,未评级未评等
2656,JG_510000004812,崇州市隆兴镇卫生院,510184,未评级未评等
2683,JG_510000007438,资中县铁佛镇卫生院,511025,未评级未评等
2694,JG_510000014192,越西县保安藏族乡卫生院,513434,未评级未评等
2695,JG_510000010976,汉源县河南乡卫生院,511823,未评级未评等
2696,JG_510000002838,仪陇县人民医院,511324,三级乙等
2860,JG_510000X21838,泸县杨九祥和医院,510521,一级未评等
2867,JG_510000008226,南部县碑院镇卫生院,511321,未评级未评等
2868,JG_510000009086,仁寿县慈航镇卫生院,511421,未评级未评等
2881,JG_510000003054,宜宾大欣妇产医院,511502,二级乙等
2890,JG_510000011946,成都东部新区丹景社区卫生服务中心,510197,未评级未评等
2891,JG_510000166704,成都双流弘德医院,510116,一级未评等
2905,JG_510000006408,江油市重华镇卫生院,510781,未评级未评等
2906,JG_510000011196,巴中市恩阳区关公镇卫生院,511903,未评级未评等
2907,JG_510000160436,武胜博爱医院,511622,一级未评等
2909,JG_510000013930,昭觉县谷曲镇中心卫生院,513431,未评级未评等
2917,JG_510000200776,筠连现黛眼科医院,511527,一级乙等
2931,JG_510107001AAK,成都白癜风医院,510107,一级未评等
2932,JG_510000199452,南江县集州街道大堂坝社区卫生服务中心,511922,未评级未评等
2935,JG_510000010596,渠县青龙镇卫生院,511725,未评级未评等
2944,JG_510000187618,泸州纳溪建林医院,510503,一级乙等
3004,JG_510000009556,珙县曹营镇卫生院,511526,未评级未评等
3005,JG_510000006580,广元市朝天区临溪乡卫生院,510812,未评级未评等
3006,JG_510000003464,万源健安医院,511781,未评级未评等
3018,JG_510000201102,成都新世纪妇女儿童医院（成都新世纪妇女儿童医院互联网医院）,510105,二级未评等
3019,JG_510000008566,蓬安县福德镇新河卫生院,511323,未评级未评等
3027,JG_510000902192,达州华康医院,511703,未评级未评等
3055,JG_510000005926,三台县刘营镇中心卫生院,510722,未评级未评等
3069,JG_510000172498,崇州济民医院,510184,一级未评等
3070,JG_510000183958,筠连天和医院,511527,一级甲等
3077,JG_5100001929551,江油智慧医院,510781,一级未评等
3084,JG_510000007214,射洪市曹碑镇卫生院,510981,未评级未评等
3085,JG_510000008052,南充市高坪区青莲社区卫生服务中心,511303,未评级未评等
3086,JG_510000007164,射洪市金家中心卫生院,510981,未评级未评等
3090,JG_510000202584,广元川北糖尿病专科医院,510802,二级未评等
3094,JG_510000160012,泸县新兴医院,510521,一级未评等
3102,JG_510000183208,南充佑安医院,511302,未评级未评等
3108,JG_510000173644,青竹街道社区卫生服务中心,511425,未评级未评等
3109,JG_510000003494,雅安河北医院,511802,二级乙等
3143,JG_510000002634,井研县中医医院,511124,三级未评等
3177,JG_510000167450,成都康福肾脏病医院,510107,二级未评等
3188,JG_510000200352,成都成华龙港医院,510108,一级甲等
3199,JG_510000003418,大竹县中医院,511724,三级乙等
3251,JG_510000001242,金堂县川锅医院,510121,一级乙等
3252,JG_510000009202,洪雅县止戈镇卫生院,511423,未评级未评等
3261,JG_510000007118,蓬溪县红江镇卫生院,510921,未评级未评等
3262,JG_510000007388,资中县球溪镇卫生院,511025,未评级未评等
3279,JG_510000010882,荥经县花滩镇中心卫生院,511822,未评级未评等
3280,JG_510000007540,乐山市市中区石龙乡卫生院,511102,未评级未评等
3281,JG_510000005646,中江县积金镇卫生院,510623,未评级未评等
3294,JG_510000013178,西昌市经久乡卫生院,513401,未评级未评等
3295,JG_510000900078,江安健朗医院,511523,一级未评等
3318,JG_510000011166,巴中市恩阳区尹家镇卫生院,511903,未评级未评等
3319,JG_510000014082,冕宁县巨龙中心卫生院,513433,未评级未评等
3333,JG_510000187978,安大医院,513231,一级未评等
3334,JG_510000010156,达州市达川区福善镇卫生院,511705,未评级未评等
3338,JG_510000920191,兴文周家联友医院,511528,一级未评等
3340,JG_510000190272,平昌国平医院,511923,一级甲等
3341,JG_510000009988,邻水县高滩镇中心卫生院,511623,未评级未评等
3344,JG_510000014250,甘洛县玉田镇卫生院,513435,未评级未评等
3350,JG_510000175290,安岳锦欣妇女儿童医院有限公司,512021,二级乙等
3365,JG_510000013482,会理市彰冠镇富乐卫生院,513402,未评级未评等
3375,JG_510000010824,雅安市雨城区上里镇中心卫生院,511802,未评级未评等
3376,JG_510000006272,北川羌族自治县禹里镇中心卫生院,510726,未评级未评等
3378,JG_510000903867,崇州寿康老年病医院,510184,二级未评等
3384,JG_510182100AAD,彭州熊氏中医骨科医院,510182,一级未评等
3391,JG_510000X45462,武胜爱尔眼科医院,511622,二级未评等
3393,JG_510000007502,乐山市市中区安谷镇中心卫生院,511102,未评级未评等
3415,JG_510000903260,成都武侯优护家护理院,510107,一级未评等
3417,JG_510000002796,南部县中医医院,511321,三级乙等
3473,JG_510000203812,宜宾康宁精神病康复医院,511503,二级乙等
3475,JG_510000001528,自贡汇东医院（高新区）,510399,一级甲等
3479,JG_510000008270,南部县永庆乡卫生院,511321,未评级未评等
3480,JG_510000900425,长宁康仁医院,511524,一级未评等
3481,JG_510000181898,广元青林疼痛康复专科医院,510802,二级未评等
3488,JG_510000002342,剑阁县妇幼保健院（妇幼保健计划生育服务中心）,510823,二级甲等
3502,JG_510000012162,松潘县红土镇中心卫生院,513224,未评级未评等
3503,JG_510000006376,江油市河口镇卫生院,510781,未评级未评等
3510,JG_510000011598,平昌县响滩镇中心卫生院黑水分院,511923,未评级未评等
3512,JG_510000901062,成都暄妍医学美容医院,510107,未评级未评等
3513,JG_510000007792,沐川县底堡乡卫生院,511129,未评级未评等
3516,JG_510000011350,通江县铁佛镇文峰卫生院,511921,未评级未评等
3518,JG_510000188038,成都双流仁港医院,510116,一级未评等
3519,JG_510000004094,成都市青羊区文家社区卫生服务中心（成都市青羊区文家社区医院）,510105,未评级未评等
3520,JG_510000201960,喜德县中彝医院,513432,未评级未评等
3521,JG_510000167906,资阳忠华康复医院,512002,二级乙等
3534,JG_510000013332,盐源县润盐镇卫生院,513423,未评级未评等
3535,JG_510000002812,营山县中医医院,511322,二级甲等
3569,JG_510000005248,泸州市纳溪区白节中心卫生院,510503,未评级未评等
3571,JG_510000005964,三台县金石镇黎曙卫生院,510722,未评级未评等
3581,JG_510000003426,渠县中医院,511725,二级甲等
3595,JG_5100001929917,江安立昌中医医院,511523,一级未评等
3600,JG_510000149055,成都高新华南医院,510199,未评级未评等
3602,JG_510000011488,南江县正直镇中心卫生院凤仪分院,511922,未评级未评等
3603,JG_510000008280,南部县五灵乡卫生院,511321,未评级未评等
3604,JG_510000011904,乐至县东山镇孔雀卫生院,512022,未评级未评等
3605,JG_510524100ABD,叙永民康医院,510524,二级乙等
3609,JG_510000008198,南部县东坝中心卫生院,511321,未评级未评等
3615,JG_510000007352,威远县龙会镇卫生院,511024,未评级未评等
3630,JG_511381001ADB,阆中樊恩胜医院,511381,一级甲等
3631,JG_510000008824,西充县高院镇卫生院,511325,未评级未评等
3632,JG_510000901771,达州南方医院,511703,二级乙等
3644,JG_510000006362,江油市青莲镇中心卫生院,510781,未评级未评等
3669,JG_510000185430,前锋仁仁医院,511603,一级甲等
3673,JG_510000005150,盐边县国胜中心卫生院,510422,未评级未评等
3674,JG_510000904962,通江毛氏医院,511921,一级未评等
3678,JG_510000008058,南充市高坪区石圭镇卫生院,511303,未评级未评等
3679,JG_510000201954,布拖县中彝医院,513429,未评级未评等
3682,JG_510000006506,广元市昭化区王家镇中心卫生院,510811,未评级未评等
3684,JG_510000903898,隆昌天佑医院,511083,一级未评等
3694,JG_510000166686,成都颐和医院（成都颐和医院富顿互联网医院）,510105,二级未评等
3699,JG_510000007536,乐山市市中区苏稽镇中心卫生院,511102,未评级未评等
3703,JG_510000011284,巴州区曾口镇店子卫生院,511902,未评级未评等
3705,JG_510000011924,乐至县石湍镇中心卫生院,512022,未评级未评等
3723,JG_510000172896,三台县潼川社区卫生服务中心,510722,未评级未评等
3725,JG_510000005528,德阳市旌阳区新中镇卫生院,510603,未评级未评等
3727,JG_510000004704,彭州市白鹿镇卫生院,510182,未评级未评等
3730,JG_510000202126,崇州恒德医院,510184,未评级未评等
3739,JG_511724100AAK,大竹新华医院,511724,一级未评等
3740,JG_510000005388,合江县大桥镇佛荫卫生院,510522,未评级未评等
3741,JG_510000189560,凉山骨科医院,513401,二级乙等
3753,JG_510000900212,宜宾惠康医院,511504,一级甲等
3759,JG_510000011638,平昌县土兴镇中心卫生院,511923,一级甲等
3776,JG_510000910342,南部三六五医院,511321,一级未评等
3779,JG_510000006692,青川县沙州镇中心卫生院,510822,未评级未评等
3783,JG_510000166806,石屏百姓医院,510525,一级未评等
3815,JG_510000011644,平昌县灵山镇卫生院,511923,未评级未评等
3816,JG_510000007926,峨眉山市龙门乡卫生院,511181,未评级未评等
3822,JG_510000908091,内江弘心医院,511002,一级未评等
3826,JG_510000003786,康定市人民医院,513301,二级甲等
3835,JG_510000005938,三台县紫河镇中心卫生院,510722,未评级未评等
3865,JG_510000006512,广元市昭化区射箭镇明觉卫生院,510811,未评级未评等
3867,JG_510000001150,成都市龙泉驿区第一人民医院,510112,三级乙等
3991,JG_510000008608,仪陇县土门中心卫生院,511324,未评级未评等
3995,JG_510000014218,越西县大花镇卫生院,513434,未评级未评等
3996,JG_510000160070,都江堰爱尔眼科医院,510181,未评级未评等
3998,JG_510000005214,江阳区丹林镇卫生院,510502,未评级未评等
4010,JG_510000009424,江安县仁和镇卫生院,511523,未评级未评等
4012,JG_510000198148,西充华联医院,511325,一级未评等
4021,JG_510000921550,成都新丽美医疗美容医院,510199,未评级未评等
4022,JG_510000012596,丹巴县巴底镇中心卫生院,513323,未评级未评等
4030,JG_510000005008,荣县保华镇卫生院,510321,未评级未评等
4037,JG_510000015228,华蓥市华龙社区卫生服务中心,511681,未评级未评等
4038,JG_510000005854,绵阳市涪城区新皂镇卫生院,510703,未评级未评等
4046,JG_510000012602,丹巴县半扇门镇中心卫生院,513323,未评级未评等
4048,JG_510000011188,巴中市恩阳区渔溪三河场卫生院,511903,未评级未评等
4050,JG_510000005060,富顺县古佛镇卫生院,510322,未评级未评等
4063,JG_510000190648,宜宾翠屏川北医院,511502,一级未评等
4065,JG_510000171208,成都红星老年病医院,510114,二级未评等
4084,JG_510000009098,仁寿县谢安镇卫生院,511421,未评级未评等
4090,JG_510000009284,宜宾三江新区白沙湾社区卫生服务中心,511599,未评级未评等
4091,JG_510000190160,平昌新华医院,511923,一级甲等
4092,JG_510000008354,营山县星火中心卫生院,511322,未评级未评等
4097,JG_510000006812,剑阁县鹤龄镇中心卫生院,510823,未评级未评等
4107,JG_510000166676,成都东区医院,510104,二级乙等
4126,JG_510000010244,宣汉县黄石乡卫生院,511722,未评级未评等
4128,JG_510000933459,四川省儿童医院（四川省儿童医学中心）,511402,三级未评等
4139,JG_510000003412,开江县中医院,511723,二级甲等
4168,JG_510000175020,蓬溪忠仁老年病医院,510921,二级未评等
4175,JG_510000007756,夹江县新场镇中心卫生院,511126,未评级未评等
4177,JG_510000006686,青川县竹园镇中心卫生院,510822,未评级未评等
4180,JG_510000011394,通江县铁溪镇朱元卫生院,511921,未评级未评等
4182,JG_510000010206,达州市通川区金石镇卫生院,511702,未评级未评等
4184,JG_510000007464,隆昌市龙市镇中心卫生院,511083,未评级未评等
4218,JG_510000007798,沐川县杨村乡卫生院,511129,未评级未评等
4220,JG_510000008316,南部县店垭乡卫生院,511321,未评级未评等
4221,JG_510000011592,平昌县响滩镇中心卫生院元沱分院,511923,未评级未评等
4223,JG_510000916181,宣汉蒲晶眼科医院,511722,一级未评等
4224,JG_510000007220,大英县卓筒井镇卫生院,510923,未评级未评等
4241,JG_510000003298,达州市达川区妇幼保健计划生育服务中心,511703,二级甲等
4246,JG_510000010732,万源市白沙镇社区卫生服务中心,511781,未评级未评等
4248,JG_510000173814,什邡丽人医院,510682,一级未评等
4256,JG_510000006160,盐亭县巨龙镇卫生院,510723,未评级未评等
4263,JG_5100001929822,遂宁爱尔眼科医院,510903,二级未评等
4269,JG_510000006210,梓潼县文昌镇中心卫生院,510725,未评级未评等
4277,JG_510000010846,雅安市名山区黑竹镇卫生院,511803,未评级未评等
4291,JG_510000007508,乐山市市中区悦来乡卫生院,511102,未评级未评等
4292,JG_510000009612,筠连县大雪山镇中心卫生院,511527,未评级未评等
4294,JG_510000006454,广元市利州区盘龙镇卫生院,510802,未评级未评等
4295,JG_510000197964,冕宁县漫水湾友松医院,513433,二级乙等
4300,JG_510000001366,蒲江县妇幼保健计划生育服务中心,510131,二级甲等
4303,JG_510000005022,荣县铁厂镇卫生院,510321,未评级未评等
4304,JG_510000188402,会东紫荆花医院,513426,一级未评等
4305,JG_510000202170,德阳锦江妇产医院,510603,二级未评等
4306,JG_510000013404,德昌县永郎镇中心卫生院,513424,未评级未评等
4308,JG_510000004386,成都高新区中和社区卫生服务中心,510199,未评级未评等
4314,JG_510000173020,新津恒生医院,510118,一级未评等
4321,JG_510000162870,安岳鑫和医院,512021,一级未评等
4332,JG_510000011576,平昌县江口中心卫生院尖山分院,511923,未评级未评等
4336,JG_510000183978,宣汉同盛医院,511722,二级乙等
4340,JG_510000005906,绵阳市游仙区信义中心卫生院,510704,未评级未评等
4349,JG_510000001292,成都台双医院,510116,一级未评等
4354,JG_510000008636,仪陇县杨桥镇卫生院,511324,未评级未评等
4356,JG_510000190136,平昌安康医院,511923,一级甲等
4357,JG_510000008072,南充市高坪区清溪社区卫生服务中心,511303,未评级未评等
4360,JG_510000009332,宜宾市叙州区樟海镇中心卫生院,511504,未评级未评等
4362,JG_510000007874,马边彝族自治县烟峰镇卫生院,511133,未评级未评等
4376,JG_510000002474,威远县中医医院,511024,二级甲等
4404,JG_510000187820,大邑绍成医院,510129,一级未评等
4408,JG_510000013478,会理市新发镇卫生院,513402,未评级未评等
4409,JG_510000000902,中国五冶集团有限公司医院,510106,二级甲等
4434,JG_510000013708,普格县螺髻山镇卫生院,513428,未评级未评等
