疾病编码,总费用,总住院天数,总住院次数,总人数,平均费用,平均住院次数
I33.004,91735.77,109,4,1,22933.9425,4
I78.000x001,246034.57,142,20,5,12301.7285,4
I87.100x017,127732.14,36,4,1,31933.035,4
"J45.901,I25.100",11658.21,55,8,2,1457.27625,4
N00.100x001,12418.89,21,4,1,3104.7225,4
N28.835,26118.22,34,4,1,6529.555,4
N36.802,27992.8,42,4,1,6998.2,4
Q12.100,39094.56,4,4,1,9773.64,4
Q76.400x313,43752.3,160,4,1,10938.075,4
Q89.800x906,29133.64,10,4,1,7283.41,4
T82.504,94014.24,40,4,1,23503.56,4
T91.500,37966.92,113,4,1,9491.73,4
T91.800x005,16496.54,69,4,1,4124.135,4
D56.900,5345212.59,4165,1698,427,3147.946166,3.976580796
T90.401,456907.77,2408,133,34,3435.396767,3.911764706
G80.900,48463104.21,175569,5366,1373,9031.514016,3.908230153
C41.402,314701.42,178,35,9,8991.469143,3.888888889
G80.100,3339742.57,10824,431,111,7748.822668,3.882882883
F20.501,24988263.14,138005,2079,536,12019.36659,3.878731343
F06.809,40391066.56,147046,2610,673,15475.50443,3.878157504
T87.602,1797183.15,5631,324,84,5546.861574,3.857142857
D68.206,129890.68,132,23,6,5647.42087,3.833333333
G93.803,1564086.45,2008,19,5,82320.33947,3.8
T90.951,214542.91,901,38,10,5645.866053,3.8
Z51.800x095,200885606.9,185047,58601,15513,3428.02353,3.777541417
F06.811,1266757.56,9081,147,39,8617.398367,3.769230769
Z51.103,1855528091,1696517,301672,80287,6150.813106,3.757420255
G12.900,1191182.16,1271,340,91,3503.476941,3.736263736
M33.000,1152959.21,726,175,47,6588.338343,3.723404255
F20.800x002,10052998.96,58496,795,214,12645.28171,3.714953271
C94.200x001,1109277.9,380,26,7,42664.53462,3.714285714
Z51.800x094,53099550.18,46242,15885,4296,3342.747887,3.697625698
Q90.900,2014597.88,7330,255,69,7900.383843,3.695652174
F11.900,529052.11,4707,59,16,8966.984915,3.6875
C94.700x003,1410130.63,411,22,6,64096.84682,3.666666667
T95.202,32491.09,93,11,3,2953.735455,3.666666667
F79.901,28694744.54,124822,3820,1043,7511.71323,3.662511985
F20.000,370388509.9,2086307,34419,9478,10761.16418,3.631462334
F20.100,9437577.01,51004,885,244,10663.92882,3.62704918
D69.100x004,486143.43,164,18,5,27007.96833,3.6
E78.001,135371.43,60,18,5,7520.635,3.6
F20.600,14847008.84,89528,1540,429,9640.914831,3.58974359
G12.102,239519.07,155,96,27,2494.990312,3.555555556
M30.101,627451.01,527,46,13,13640.23935,3.538461538
Z51.102,702870313.4,612535,137096,39000,5126.847708,3.515282051
B22.001+F02.4*,61658.18,463,7,2,8808.311429,3.5
B69.001+,18396.65,64,7,2,2628.092857,3.5
D53.802,13024.24,13,7,2,1860.605714,3.5
F13.900,41062.59,83,7,2,5866.084286,3.5
G95.804,123965.78,238,14,4,8854.698571,3.5
T56.300x001,35152.21,83,7,2,5021.744286,3.5
T93.600x003,17976.75,86,7,2,2568.107143,3.5
D66.x01,7395006.36,3851,860,248,8598.844605,3.467741935
D80.002,142197.78,67,38,11,3742.046842,3.454545455
F71.100,53762354.22,391015,5685,1650,9456.878491,3.445454545
F20.300,99483871.78,442082,6118,1788,16260.84861,3.421700224
C49.503,260301.81,122,17,5,15311.87118,3.4
F84.200,106426.59,275,17,5,6260.387647,3.4
H52.100,20636788.76,7677,6144,1814,3358.852337,3.386990077
F06.802,18867355.73,121716,1686,502,11190.60245,3.358565737
K50.800x001,6240835.88,5836,1342,402,4650.399314,3.338308458
C91.005,264526.69,192,10,3,26452.669,3.333333333
C96.700x002,143209.19,137,10,3,14320.919,3.333333333
D82.000x001,520709.12,162,10,3,52070.912,3.333333333
D89.800,498653.54,244,30,9,16621.78467,3.333333333
E56.100x001,57377.31,170,10,3,5737.731,3.333333333
F06.300x010,99165.43,534,10,3,9916.543,3.333333333
G96.800x005,104016.75,105,10,3,10401.675,3.333333333
I71.600x004,326442.51,95,10,3,32644.251,3.333333333
D61.905,46461215.09,19630,1855,558,25046.47714,3.32437276
F84.000,14532298.42,53333,1508,457,9636.802666,3.299781182
F79.900,2563270.08,13447,280,85,9154.536,3.294117647
K22.207,361119.4,337,56,17,6448.560714,3.294117647
F20.900,2792830472,18046275,254167,77513,10988.17105,3.279024164
F79.100,253488375.4,1805756,24843,7628,10203.61371,3.25681699
F06.801,131962829.3,877222,12690,3900,10398.96212,3.253846154
C49.504,105344.92,67,13,4,8103.455385,3.25
C93.000x021,2514618.17,1052,65,20,38686.43338,3.25
C96.701M97271/3,76594.57,83,13,4,5891.89,3.25
F15.501,563325.34,3992,91,28,6190.388352,3.25
G12.103,671245.61,508,148,46,4535.443311,3.217391304
T92.801,146649.38,456,16,5,9165.58625,3.2
K50.900,6155042.08,7159,1864,583,3302.061202,3.197255575
A52.104+F02.8*,3209380.57,14771,278,87,11544.53442,3.195402299
F01.200,5889879.41,18962,271,85,21733.87236,3.188235294
F25.200,958974.43,5402,76,24,12618.08461,3.166666667
G80.802,7255056.35,30066,616,195,11777.68888,3.158974359
Z51.100x002,49988902.18,38351,9959,3154,5019.470045,3.157577679
C91.305,434449.54,350,22,7,19747.70636,3.142857143
F06.300,17796924.39,50235,1077,343,16524.53518,3.139941691
G12.000x001,114940.68,102,47,15,2445.546383,3.133333333
R62.000x001,3551078.98,12096,454,145,7821.759868,3.131034483
T94.100,423480.27,1308,72,23,5881.670417,3.130434783
D66.X01,166110.53,52,28,9,5932.518929,3.111111111
C71.703,12404883.09,3700,311,100,39887.08389,3.11
D59.300x002,754417.17,321,31,10,24336.03774,3.1
G80.200,2213860.37,5967,189,61,11713.54693,3.098360656
F72.100,43378346.83,335850,4174,1350,10392.51242,3.091851852
F10.501,25534825.6,135293,2136,691,11954.50637,3.091172214
N04.501,235609.17,311,34,11,6929.681471,3.090909091
Z51.801,204549125.2,176612,47737,15695,4284.917889,3.041541892
Z51.800x001,1964029.21,2299,2244,746,875.2358333,3.008042895
A42.804,85356.48,129,6,2,14226.08,3
B21.100x001,61477.67,44,3,1,20492.55667,3
B35.300 脚癣,5474.81,39,3,1,1824.936667,3
B37.500+G02.1*,152147.14,75,9,3,16905.23778,3
B83.202+G05.2*,19496.71,19,3,1,6498.903333,3
C40.003,141327.37,88,12,4,11777.28083,3
C48.100x006,181497,65,3,1,60499,3
C84.901,28842.26,37,6,2,4807.043333,3
C92.500x022,10303.54,4,3,1,3434.513333,3
C93.103,201731.46,142,9,3,22414.60667,3
C95.000x007,54530.73,70,3,1,18176.91,3
D00.013,89234.6,56,6,2,14872.43333,3
D33.302,151026.2,12,6,2,25171.03333,3
D68.000,7103.97,6,3,1,2367.99,3
D82.400x001,54560.66,34,3,1,18186.88667,3
E10.205+N08.3*,61628.63,156,3,1,20542.87667,3
E10.206+N08.3*,5508.48,49,3,1,1836.16,3
E14.300x043+H36.0*,46394.98,12,12,4,3866.248333,3
E75.000x001,7531.39,58,3,1,2510.463333,3
E75.201,43044.55,51,12,4,3587.045833,3
E85.411+,35343.56,54,3,1,11781.18667,3
F06.806,218065.44,1405,27,9,8076.497778,3
F31.300x00,30359.17,411,3,1,10119.72333,3
F31.800x003,139039.83,864,9,3,15448.87,3
F68.100x001,8652.19,23,3,1,2884.063333,3
F73.900,41389.08,289,3,1,13796.36,3
G11.300x001,31979.85,99,3,1,10659.95,3
G30.100x003 +F00.1*,35199.25,380,3,1,11733.08333,3
G30.901?,99707.65,85,3,1,33235.88333,3
G80.801,178239.82,404,9,3,19804.42444,3
I35.807,37917.14,19,3,1,12639.04667,3
"I67.900,M75.001",5444.17,29,3,1,1814.723333,3
"I83.101,",2571.05,12,3,1,857.0166667,3
"J18.900,I10.x09",3524.71,14,3,1,1174.903333,3
J86.000x013,296985.39,235,15,5,19799.026,3
K73.000,9050.81,31,3,1,3016.936667,3
K73.800x001,19236.64,58,6,2,3206.106667,3
M62.403,80502.31,292,6,2,13417.05167,3
N00.200,22025.05,40,3,1,7341.683333,3
Q22.000,527182.22,72,6,2,87863.70333,3
Q44.300,3872.65,15,3,1,1290.883333,3
Q44.703,23101.22,24,6,2,3850.203333,3
Q78.900,11769.25,15,3,1,3923.083333,3
Q84.801,85173.81,59,6,2,14195.635,3
Q93.501,82189.36,332,12,4,6849.113333,3
S34.101,17934.31,69,3,1,5978.103333,3
S37.801,9916.02,43,9,3,1101.78,3
T09.302,18937.97,94,3,1,6312.656667,3
T27.301,27135.42,145,6,2,4522.57,3
T34.600x002,17019.77,78,3,1,5673.256667,3
T82.301,113527.06,62,6,2,18921.17667,3
T83.100x003,22123.46,24,3,1,7374.486667,3
T90.202,78441.82,128,27,9,2905.252593,3
T90.208,43341.79,85,6,2,7223.631667,3
T93.951,11409.96,53,3,1,3803.32,3
T94.000,47841.82,130,6,2,7973.636667,3
Z51.104,143145055.9,149407,23877,7985,5995.102229,2.990231684
D80.901,978362.92,458,200,67,4891.8146,2.985074627
F31.700,10925151.85,65773,914,310,11953.12019,2.948387097
T91.202,1145614.17,3689,200,68,5728.07085,2.941176471
F06.805,349777.02,2023,47,16,7442.064255,2.9375
G35.x03,354378.9,132,44,15,8054.065909,2.933333333
C91.000x016,12668273.94,6727,343,117,36933.74327,2.931623932
F10.701,338970.33,1712,29,10,11688.63207,2.9
D60.900x001,9214242.22,8179,1156,400,7970.797768,2.89
D46.700x004,964480.73,757,52,18,18547.70635,2.888888889
F22.001,10081001.92,65883,973,338,10360.74195,2.878698225
E83.101,278756.51,322,46,16,6059.92413,2.875
G30.901+F00.9*,117773672.3,366646,7025,2455,16764.93556,2.861507128
F72.000x002,157767.33,1046,20,7,7888.3665,2.857142857
D60.900,618392.28,861,77,27,8031.068571,2.851851852
F22.900,1956751.95,14077,171,60,11442.99386,2.85
D16.801,335112.75,108,17,6,19712.51471,2.833333333
F07.900,4563039.81,38670,459,162,9941.263203,2.833333333
Q82.504,6629786.22,128,901,320,7358.253296,2.815625
F71.800,7036493.46,55542,717,256,9813.79841,2.80078125
C92.100x017,238249.48,246,14,5,17017.82,2.8
M34.809+I52.8*,36177.07,25,14,5,2584.076429,2.8
M35.900x006+G63.5*,199831.49,167,14,5,14273.67786,2.8
Q87.106,235172.27,876,28,10,8399.009643,2.8
T92.102,55733.28,148,14,5,3980.948571,2.8
D76.200x001,5848337.84,2431,148,53,39515.79622,2.79245283
C91.000x022,15509460.79,7889,421,151,36839.57432,2.78807947
Z51.101,150192444.4,127974,25434,9154,5905.183787,2.778457505
B45.700,1320138.16,610,25,9,52805.5264,2.777777778
Z51.200x008,30650605.1,32385,3969,1438,7722.500655,2.760083449
M32.114+G94.8*,6738739.43,4278,524,190,12860.18975,2.757894737
D59.500x001,2062261.53,1697,245,89,8417.394,2.752808989
F72.000x001,4588918.73,26014,385,140,11919.26943,2.75
M34.800x004+N08.5*,439082.6,135,11,4,39916.6,2.75
Z51.805,1632182.74,2000,580,211,2814.108172,2.748815166
C85.721,2177161.23,1213,85,31,25613.66153,2.741935484
M32.101+N08.5*,42078910.28,37791,5574,2033,7549.140703,2.741760944
F10.700,1655882.01,7058,167,61,9915.461138,2.737704918
F01.900,83274155.55,282221,5549,2027,15007.05633,2.737543167
D61.900,29211944.88,20436,3181,1164,9183.258372,2.732817869
C69.200,1043505.2,630,194,71,5378.892784,2.732394366
B45.102+G05.2*,6239340.9,3190,128,47,48744.85078,2.723404255
G12.206,217477.93,832,19,7,11446.20684,2.714285714
G30.801+F00.2*,14768659.62,68907,1253,462,11786.63976,2.712121212
F07.951,1202601.49,4607,84,31,14316.6844,2.709677419
M35.800,89505.99,149,27,10,3315.036667,2.7
F25.000,2051116.7,14009,197,73,10411.7599,2.698630137
Z51.800x002,3569491.19,679,102,38,34995.01167,2.684210526
C91.000,69900624.7,37543,2136,796,32725.01156,2.683417085
F10.900,103744264.5,664205,11329,4223,9157.407053,2.682690031
D84.900x002,363283.51,145,75,28,4843.780133,2.678571429
F20.200,2973470.12,12848,241,90,12338.05029,2.677777778
C92.400,7550742.41,6487,337,126,22405.76383,2.674603175
Z51.800,24171300.65,24363,5574,2089,4336.437146,2.668262326
D80.800,302139.2,86,8,3,37767.4,2.666666667
E11.300x043+H36.0*,115172.07,101,56,21,2056.644107,2.666666667
F07.800x004,2926506.22,14782,232,87,12614.25095,2.666666667
F92.900,91220.05,445,8,3,11402.50625,2.666666667
I42.500,54718.55,85,8,3,6839.81875,2.666666667
I72.400x222,158551.89,96,8,3,19818.98625,2.666666667
F09.x03,331963879.5,1917164,32039,12076,10361.24347,2.653113614
Z51.100,223967004.5,198124,34114,12861,6565.251934,2.652515357
D61.003,211546.1,172,37,14,5717.462162,2.642857143
F70.100,17851429.66,118459,1786,676,9995.201377,2.642011834
Z51.800x952,17336036.03,12469,4049,1533,4281.559899,2.641226354
M30.100x001,1346069.22,1013,116,44,11604.045,2.636363636
F79.800,9941854.1,76464,1007,382,9872.744886,2.636125654
F06.400,13175851.03,40903,829,315,15893.66831,2.631746032
F06.810,1643151.98,12826,234,89,7022.017009,2.629213483
F15.900,304739.65,2377,42,16,7255.705952,2.625
G93.800x012,5700033.9,4972,84,32,67857.54643,2.625
H35.005,86977.66,73,42,16,2070.896667,2.625
F20.800x003,1271589.33,7150,97,37,13109.16835,2.621621622
G30.100,10878767.88,48742,790,302,13770.59225,2.61589404
F70.100x001,2865055.64,12812,340,130,8426.634235,2.615384615
T98.100x001,368558.57,969,34,13,10839.95794,2.615384615
F31.801,1413660.11,10924,125,48,11309.28088,2.604166667
F11.500,258264.14,1709,26,10,9933.236154,2.6
H31.800,73222.16,59,26,10,2816.236923,2.6
H44.103,125732.6,187,26,10,4835.869231,2.6
R11.x01,456098.26,762,117,45,3898.275726,2.6
J60.x01,19598665.63,52519,3124,1204,6273.580547,2.594684385
F15.900x003,1117880.39,5983,111,43,10070.9945,2.581395349
Z51.800x953,4110490.04,4374,996,386,4126.998032,2.580310881
Q85.801,303736.23,198,18,7,16874.235,2.571428571
H35.806,227171.25,227,95,37,2391.276316,2.567567568
G30.802+F00.2*,2275143.06,8066,133,52,17106.3388,2.557692308
G12.100,22649.5,24,23,9,984.7608696,2.555555556
F25.900,8850815.5,42570,779,306,11361.76573,2.545751634
A18.011+M49.0*,3760794.67,3012,33,13,113963.4748,2.538461538
C91.007,648483.63,581,33,13,19651.01909,2.538461538
F20.400,13279401.77,58999,1041,411,12756.38979,2.532846715
F72.800,4445041.49,40233,495,196,8979.881798,2.525510204
K50.102,2291005.97,2203,391,155,5859.350307,2.522580645
Z51.100x004,47952019.64,49232,7221,2863,6640.634211,2.522179532
F06.200,7698032.84,25565,512,203,15035.22039,2.522167488
F07.900x001,2600723.9,13730,179,71,14529.1838,2.521126761
K51.000,737470.9,457,141,56,5230.290071,2.517857143
F73.100,3881724.78,30207,395,157,9827.151342,2.515923567
C83.701,3501784.95,2266,123,49,28469.79634,2.510204082
G93.815,9127320.03,13524,168,67,54329.28589,2.507462687
A15.101,540452.19,306,40,16,13511.30475,2.5
A17.805+G07*,53449.07,33,5,2,10689.814,2.5
C40.300x004,209294.78,59,5,2,41858.956,2.5
C49.300x001,191166.12,90,10,4,19116.612,2.5
C57.800x005,43712.19,50,5,2,8742.438,2.5
C91.500x003,229550.09,217,15,6,15303.33933,2.5
C96.604,73110.13,72,10,4,7311.013,2.5
D47.900x002,465380.6,91,5,2,93076.12,2.5
D70.x00x011,230867.23,63,5,2,46173.446,2.5
E16.105,147930.64,142,10,4,14793.064,2.5
E88.800x012,116056.12,134,15,6,7737.074667,2.5
F12.100,28816.01,105,5,2,5763.202,2.5
F16.900,485747.55,3480,55,22,8831.773636,2.5
F84.300x001,72778.93,304,5,2,14555.786,2.5
G40.903+F02.8*,134295.11,653,15,6,8953.007333,2.5
G70.900x005,56822.82,158,5,2,11364.564,2.5
G95.100x013,113483.64,94,5,2,22696.728,2.5
L93.200x001,49878.6,53,5,2,9975.72,2.5
M21.501,91136.08,30,5,2,18227.216,2.5
M33.001+J99.1*,31514.39,18,10,4,3151.439,2.5
M35.400,14040.44,22,5,2,2808.088,2.5
M62.504,43795.51,36,5,2,8759.102,2.5
N05.900x006,16532.85,11,5,2,3306.57,2.5
Q12.400,57109.88,10,5,2,11421.976,2.5
Q25.705,310845.34,74,5,2,62169.068,2.5
Q87.800x401,195075.44,178,5,2,39015.088,2.5
S27.400x001,131141.87,57,5,2,26228.374,2.5
S36.200x091,149751.96,56,5,2,29950.392,2.5
T86.400x007,1107531.64,109,5,2,221506.328,2.5
T95.100x001,185240.46,558,10,4,18524.046,2.5
Z29.100,3885.87,1,5,2,777.174,2.5
J62.800x003,5297332.78,16563,617,247,8585.628493,2.497975709
M35.800x001,5614313.15,5196,609,244,9218.905008,2.495901639
F71.800x001,13103860.33,79845,808,325,16217.64892,2.486153846
F79.000x001,19195072.5,131390,2467,997,7780.734698,2.47442327
N04.200,620481.4,959,163,66,3806.634356,2.46969697
F10.100,29493239.71,183485,2987,1211,9873.866659,2.466556565
M41.901,41094038.01,44093,466,189,88184.63092,2.465608466
D46.900,65542795.16,47701,4267,1732,15360.39258,2.463625866
D46.201x001,309292.19,230,22,9,14058.73591,2.444444444
F06.900,20051651.48,133047,1910,782,10498.24685,2.442455243
F79.000x002,885631.57,5331,105,43,8434.586381,2.441860465
F10.502,883375.44,6235,83,34,10643.07759,2.441176471
G30.100x003+F00.1*,28559012.14,80307,1660,680,17204.22418,2.441176471
C40.102,95758.55,69,17,7,5632.855882,2.428571429
D80.100x011,122628.67,25,17,7,7213.451176,2.428571429
T81.030,78636.25,74,17,7,4625.661765,2.428571429
C90.000x026,1781086.45,1345,148,61,12034.36791,2.426229508
F70.800,2749807.73,22395,275,114,9999.300836,2.412280702
C30.102,397682.4,235,12,5,33140.2,2.4
C40.300x005,383166.63,89,12,5,31930.5525,2.4
C81.100,367763.94,246,36,15,10215.665,2.4
E26.802,190536.89,244,12,5,15878.07417,2.4
G57.600,32555.85,107,12,5,2712.9875,2.4
T91.900,75300.88,236,12,5,6275.073333,2.4
F73.800,425884.81,3131,43,18,9904.297907,2.388888889
C90.000x038,239202.87,355,31,13,7716.221613,2.384615385
F06.804,555070.52,2824,62,26,8952.750323,2.384615385
F10.500,24037198,170729,2637,1107,9115.357603,2.382113821
G82.000,896651.99,1418,50,21,17933.0398,2.380952381
M30.000,103864.9,146,19,8,5466.573684,2.375
H35.300x011,12124048.34,7881,4941,2082,2453.764084,2.373198847
F72.000,2037042.39,15582,192,81,10609.59578,2.37037037
M31.802,19104402.77,15097,1786,756,10696.75407,2.362433862
F11.204,135070.84,408,47,20,2873.84766,2.35
Z49.101,99905405.44,279388,5319,2267,18782.74214,2.346272607
F06.800x013,730707.19,3391,68,29,10745.69397,2.344827586
A06.400,33131.61,49,7,3,4733.087143,2.333333333
B45.102+G02.1*,18881.29,17,7,3,2697.327143,2.333333333
C40.304,184263.11,51,7,3,26323.30143,2.333333333
C79.100x002,37340.12,106,7,3,5334.302857,2.333333333
C85.723,2611730.05,907,56,24,46638.03661,2.333333333
D48.000x025,511380.5,57,7,3,73054.35714,2.333333333
D65.x04,112710.65,100,7,3,16101.52143,2.333333333
D76.300x005,218496.77,138,7,3,31213.82429,2.333333333
F11.500x001,75827.32,574,7,3,10832.47429,2.333333333
F12.900,64535.21,618,7,3,9219.315714,2.333333333
G72.401,74770.94,192,14,6,5340.781429,2.333333333
H83.300,17831.33,96,7,3,2547.332857,2.333333333
K51.001,224210.89,188,91,39,2463.855934,2.333333333
C90.000x027,8657611.56,6561,565,243,15323.2063,2.325102881
F20.000x001,915164.46,3365,58,25,15778.69759,2.32
Q43.100,1284096.34,543,44,19,29184.00773,2.315789474
Q75.000,1038609.1,403,37,16,28070.51622,2.3125
Q15.005,1029218.77,224,83,36,12400.22614,2.305555556
K91.201,1518071,2574,136,59,11162.28676,2.305084746
H35.003,3459069.46,2437,1646,716,2101.500279,2.298882682
C92.000x004,139604362.2,75762,3773,1650,37000.89112,2.286666667
D43.101,1383388.98,210,16,7,86461.81125,2.285714286
F30.100,1784412.52,10032,160,70,11152.57825,2.285714286
G82.401,319659.28,518,16,7,19978.705,2.285714286
Q65.400,474459.9,136,16,7,29653.74375,2.285714286
M33.103+J99.1*,8093098.41,5101,530,232,15269.997,2.284482759
D61.902,2744849.38,1685,292,128,9400.16911,2.28125
D64.300x001,132327.06,122,25,11,5293.0824,2.272727273
F71.000x001,3849821.53,23448,350,154,10999.49009,2.272727273
F71.000,3102881.54,21385,259,114,11980.23761,2.271929825
L73.200,1266700.31,1270,218,96,5810.551881,2.270833333
M32.100x018+K93.8*,681466.11,576,59,26,11550.27305,2.269230769
T91.102,811977.44,2073,102,45,7960.563137,2.266666667
F60.000,1598958.74,11339,179,79,8932.730391,2.265822785
C90.000x024,4870325.63,3528,310,137,15710.72784,2.262773723
F79.100x002,25728784.16,147091,2204,977,11673.67702,2.255885363
B45.100,373473.37,299,9,4,41497.04111,2.25
C92.104,154856.89,101,9,4,17206.32111,2.25
C94.000x021,122904.41,95,9,4,13656.04556,2.25
D68.205,214768.29,362,27,12,7954.381111,2.25
I77.600x022,133873.14,96,9,4,14874.79333,2.25
J68.201,29032.46,96,9,4,3225.828889,2.25
T90.204,329255,115,18,8,18291.94444,2.25
N04.200x001,19317725.84,19355,2901,1291,6658.988569,2.247095275
I69.800x003,17184001.08,25220,437,195,39322.65693,2.241025641
E05.002+H06.2*,23966513.13,22475,3018,1347,7941.190567,2.240534521
N02.701,371804.22,501,47,21,7910.728085,2.238095238
G30.800x003+F00.2*,10405936.83,26135,649,290,16033.80097,2.237931034
G95.805,3637922.08,1554,85,38,42799.08329,2.236842105
F79.000,10522546.09,78899,1089,487,9662.576758,2.23613963
C92.000x002,36957406.65,17334,753,337,49080.22131,2.234421365
T86.100x002,7966464.37,3571,491,220,16224.97835,2.231818182
F30.200,4192630.73,27906,482,216,8698.404004,2.231481481
F06.808,7914281.14,34900,665,299,11901.17465,2.224080268
C92.400x001,24400070.83,13808,638,287,38244.62513,2.222996516
B49.x00x013,956712.44,392,20,9,47835.622,2.222222222
C82.001,239457.74,248,20,9,11972.887,2.222222222
C92.002,475950.76,366,20,9,23797.538,2.222222222
F07.000,458740.19,1598,20,9,22937.0095,2.222222222
F72.900,268418.86,1832,20,9,13420.943,2.222222222
G04.800x012,1177872.27,358,20,9,58893.6135,2.222222222
M48.300,71234.98,347,20,9,3561.749,2.222222222
N01.700x001,1676444.8,546,40,18,41911.12,2.222222222
C90.000x022,19788957.37,14717,1187,535,16671.40469,2.218691589
T13.300,649270.32,1841,102,46,6365.395294,2.217391304
N04.601,1055092.55,1686,217,98,4862.17765,2.214285714
